name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2021-08-27,29,25,26.4,34.4,25,27.9,24.1,87.5,0,0,0,,0,0,25.8,25.9,232.3,1013.7,63,9.8,142.7,12.3,5,,2021-08-27T06:39:58,2021-08-27T18:55:49,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2021-08-28,30.5,23.8,26.2,35.8,23.8,27.8,23.7,86.5,4,100,4.17,rain,0,0,20.5,20.5,234.1,1013.7,59.2,9.7,200.5,17.4,7,,2021-08-28T06:39:51,2021-08-28T18:55:22,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-29,28,25,26.4,32.7,25,27.6,24.2,87.5,2.8,100,29.17,rain,0,0,25.9,22.3,233.4,1011.5,74,9.8,179.1,15.4,5,,2021-08-29T06:39:43,2021-08-29T18:54:53,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-08-30,30,25,26.8,36,25,28.8,24.2,85.9,4,100,4.17,rain,0,0,29.5,27.7,222.7,1011.6,60.8,9.8,119.4,10.3,4,,2021-08-30T06:39:35,2021-08-30T18:54:25,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,65201099999"
"Lagos,Nigeria",2021-08-31,29.1,25,26.7,34.5,25,28.6,24.3,87.5,4,100,4.17,rain,0,0,16.6,14.8,250.7,1012.2,60.6,9.5,202.1,17.4,7,,2021-08-31T06:39:26,2021-08-31T18:53:56,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2021-09-01,31,23,26.9,39.1,23,29.5,24.5,87.4,1.4,100,12.5,rain,0,0,27.7,24.1,226.2,1011.6,67,9.2,106.3,9,4,,2021-09-01T06:39:18,2021-09-01T18:53:27,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-02,29,22,24.8,33.6,22,25.7,23.1,90.8,88,100,8.33,rain,0,0,18.4,23,206.4,1012.5,84.5,7.4,166.9,14.5,7,,2021-09-02T06:39:09,2021-09-02T18:52:57,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-03,26.4,22,24.3,26.4,22,24.3,23.1,92.9,75,100,4.17,rain,0,0,20.5,23,246.8,1013.5,52,7.3,169.6,14.7,7,,2021-09-03T06:39:00,2021-09-03T18:52:28,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-04,30,22.8,25.2,36.2,22.8,26.4,23.3,89.7,0,0,0,,0,0,24.1,20.5,260.2,1013,55.4,8.2,175.3,15,6,,2021-09-04T06:38:50,2021-09-04T18:51:58,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
"Lagos,Nigeria",2021-09-05,31,23.9,26.2,37.7,23.9,27.8,23.7,86.8,4,100,4.17,rain,0,0,18.4,18.4,245.3,1013.4,61.7,8.2,174.8,15.2,7,,2021-09-05T06:38:40,2021-09-05T18:51:27,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2021-09-06,28.9,24,25.8,34.2,24,27.1,24.3,91.6,0.2,100,4.17,rain,0,0,20.5,20.5,227.8,1013.5,58.3,8.7,167.6,14.6,7,,2021-09-06T06:38:31,2021-09-06T18:50:57,1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,65201099999"
"Lagos,Nigeria",2021-09-07,30.8,24,26.1,36.2,24,27.5,24.2,89.6,31,100,4.17,rain,0,0,55.4,37.1,243.7,1013.5,62.5,8.9,174.2,15,6,,2021-09-07T06:38:21,2021-09-07T18:50:26,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-08,30.1,23.8,26.9,35.1,23.8,28.9,24,84.6,0.5,100,16.67,rain,0,0,22.3,24.1,219,1012.8,64.9,9.8,147.5,12.8,5,,2021-09-08T06:38:10,2021-09-08T18:49:55,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-09,31,24.1,27.2,37.7,24.1,29.8,24.3,84.9,0.5,100,12.5,rain,0,0,29.5,25.9,209.7,1013,62.4,9.5,163,14.2,6,,2021-09-09T06:38:00,2021-09-09T18:49:23,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-10,31,25,26.9,37.7,25,28.3,24.5,86.7,9.9,100,62.5,rain,0,0,18.4,18.4,236.7,1014,72.5,10.7,116.5,9.9,4,,2021-09-10T06:37:50,2021-09-10T18:48:52,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-11,30.1,24.8,26.4,35.2,24.8,27.7,24,87.3,1,100,4.17,rain,0,0,16.6,17.6,250.4,1014.8,47.6,9.5,117.5,10.2,4,,2021-09-11T06:37:39,2021-09-11T18:48:21,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-12,32,24.9,27.1,37.9,24.9,29.4,24.2,85.3,0,0,0,,0,0,25.9,22.3,236.3,1013.7,47.4,9.9,183.7,15.9,8,,2021-09-12T06:37:29,2021-09-12T18:47:49,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"Lagos,Nigeria",2021-09-13,26.2,21.4,24.7,26.2,21.4,24.7,23.2,91,45,100,4.17,rain,0,0,14.8,23,243.1,1012.9,53.2,8.9,131.4,11.3,5,,2021-09-13T06:37:18,2021-09-13T18:47:17,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-14,30,22.8,26.1,34.1,22.8,27.4,22.6,81.6,0,0,0,,0,0,31.7,22.3,217.9,1012.7,52.4,10,281.8,24.4,9,,2021-09-14T06:37:07,2021-09-14T18:46:45,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999,VRJT5"
